seed,cohort,d_best_qor,d_best_qor_call,d_feasible_count,d_failed_eda_runtime_s,d_total_eda_runtime_s,d_optimizer_overhead_s
11,original,0.000000000000,0,2,-1347.578,52.927,2.8915
29,original,0.000000000000,0,0,-215.875,-215.875,3.1208
47,original,0.000000000000,0,2,-1347.577,52.928,2.7670
101,extension,0.000000000000,0,1,-576.963,34.912,2.4575
103,extension,0.000000000000,0,1,-535.053,76.822,3.4387
107,extension,0.000000000000,0,2,-1103.070,293.361,3.2982
109,extension,0.000000000000,0,1,-515.149,92.652,2.6148
113,extension,0.000000000000,0,1,-752.373,-140.498,2.6872
127,extension,0.000000000000,0,1,-341.611,266.190,3.9973
131,extension,0.000000000000,0,0,-224.211,-224.210,3.5496
137,extension,0.000000000000,0,1,-701.298,-93.497,3.3597
139,extension,0.000000000000,0,1,-645.418,-33.543,2.6404
149,extension,0.000000000000,0,0,287.176,287.177,2.6629
