seed,cohort,method,est_seq_eval_cost_failed_eda_s,est_seq_eval_cost_total_eda_s,optimizer_overhead_s,replay_wall_s,feasible_count,infeasible_count,cost_note
11,original,vanilla_bo_penalty,13322.465,17506.364,0.1223,0.1233,6,18,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
11,original,flowguard_calibrated,13778.944,17179.807,3.0217,3.0229,5,19,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
11,original,ei_only_ablation,15126.522,17126.880,0.1302,0.1312,3,21,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
29,original,vanilla_bo_penalty,13547.325,17731.225,0.1239,0.1248,6,18,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
29,original,flowguard_calibrated,14134.972,17535.835,3.2654,3.2666,5,19,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
29,original,ei_only_ablation,14350.847,17751.710,0.1446,0.1458,5,19,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
47,original,vanilla_bo_penalty,12640.407,16824.306,0.1286,0.1296,6,18,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
47,original,flowguard_calibrated,14155.128,17555.991,2.8947,2.8960,5,19,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
47,original,ei_only_ablation,15502.705,17503.063,0.1277,0.1288,3,21,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
101,extension,vanilla_bo_penalty,12715.025,16898.925,0.1145,0.1155,6,18,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
101,extension,flowguard_calibrated,14610.852,17223.085,2.6241,2.6252,4,20,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
101,extension,ei_only_ablation,15187.815,17188.173,0.1666,0.1718,3,21,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
103,extension,vanilla_bo_penalty,13520.570,17704.469,0.1455,0.1466,6,18,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
103,extension,flowguard_calibrated,14723.850,17336.331,3.6271,3.6283,4,20,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
103,extension,ei_only_ablation,15258.903,17259.509,0.1884,0.1896,3,21,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
107,extension,vanilla_bo_penalty,12560.201,16744.100,0.1351,0.1361,6,18,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
107,extension,flowguard_calibrated,13892.367,17293.230,3.4210,3.4222,5,19,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
107,extension,ei_only_ablation,14995.437,16999.869,0.1228,0.1239,3,21,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
109,extension,vanilla_bo_penalty,12747.511,16931.410,0.1269,0.1279,6,18,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
109,extension,flowguard_calibrated,14671.075,17283.308,2.7397,2.7409,4,20,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
109,extension,ei_only_ablation,15186.224,17190.656,0.1249,0.1259,3,21,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
113,extension,vanilla_bo_penalty,12647.270,16831.170,0.1196,0.1206,6,18,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
113,extension,flowguard_calibrated,14372.524,16984.757,2.8101,2.8113,4,20,"estimated sequential evaluation cost from recorded physical runs; optimizer overhead listed separately, not included"
