seed,method,best_feasible_qor,first_feasible_call,best_qor_call,feasible_count,infeasible_count,failed_eda_runtime_s,total_eda_runtime_s,optimizer_overhead_s,replay_wall_s,fallback_uses,cum_eda_s_to_best,cum_total_eda_s_to_best,cum_failed_eda_s_to_best
101,vanilla_bo_penalty,-0.093068237,10,16,6,18,12715.025,16898.925,0.1145,0.1155,2,11195.276169931996,11195.276169931996,8227.426670025998
101,flowguard_calibrated,-0.093068237,10,11,4,20,14610.852,17223.085,2.6241,2.6252,2,7069.499811029993,7069.499811029993,5673.316405611993
101,ei_only_ablation,-0.093068237,10,11,3,21,15187.815,17188.173,0.1666,0.1718,2,7069.499811029993,7069.499811029993,5673.316405611993
103,vanilla_bo_penalty,-0.093068237,1,1,6,18,13520.570,17704.469,0.1455,0.1466,0,607.8006902540001,607.8006902540001,0.0
103,flowguard_calibrated,-0.093068237,1,1,4,20,14723.850,17336.331,3.6271,3.6283,0,607.8006902540001,607.8006902540001,0.0
103,ei_only_ablation,-0.093068237,1,1,3,21,15258.903,17259.509,0.1884,0.1896,0,607.8006902540001,607.8006902540001,0.0
107,vanilla_bo_penalty,-0.093068237,2,2,6,18,12560.201,16744.100,0.1351,0.1361,0,1242.9799812670099,1242.9799812670099,631.1052459050043
107,flowguard_calibrated,-0.093068237,2,2,5,19,13892.367,17293.230,3.4210,3.4222,0,1242.9799812670099,1242.9799812670099,631.1052459050043
107,ei_only_ablation,-0.093068237,2,2,3,21,14995.437,16999.869,0.1228,0.1239,0,1242.9799812670099,1242.9799812670099,631.1052459050043
109,vanilla_bo_penalty,-0.093068237,2,2,6,18,12747.511,16931.410,0.1269,0.1279,0,1129.5576771429987,1129.5576771429987,517.6829417809931
109,flowguard_calibrated,-0.093068237,2,2,4,20,14671.075,17283.308,2.7397,2.7409,0,1129.5576771429987,1129.5576771429987,517.6829417809931
109,ei_only_ablation,-0.093068237,2,2,3,21,15186.224,17190.656,0.1249,0.1259,0,1129.5576771429987,1129.5576771429987,517.6829417809931
113,vanilla_bo_penalty,-0.093068237,3,3,6,18,12647.270,16831.170,0.1196,0.1206,0,1662.712847394003,1662.712847394003,1054.9121571400028
113,flowguard_calibrated,-0.093068237,3,3,4,20,14372.524,16984.757,2.8101,2.8113,0,1662.712847394003,1662.712847394003,1054.9121571400028
113,ei_only_ablation,-0.093068237,3,3,3,21,15124.897,17125.255,0.1229,0.1240,0,1662.712847394003,1662.712847394003,1054.9121571400028
127,vanilla_bo_penalty,-0.093068237,1,4,6,18,13606.792,17790.691,0.1787,0.1800,0,3312.662531817994,3312.662531817994,1920.1049205429954
127,flowguard_calibrated,-0.093068237,1,4,4,20,14819.307,17431.540,4.2192,4.2205,0,3312.662531817994,3312.662531817994,1920.1049205429954
127,ei_only_ablation,-0.093068237,1,4,3,21,15160.918,17165.350,0.2219,0.2231,0,3312.662531817994,3312.662531817994,1920.1049205429954
131,vanilla_bo_penalty,-0.093068237,3,17,6,18,13118.517,17302.416,0.3092,0.3103,0,11877.605697101979,11877.605697101979,8909.75619719598
131,flowguard_calibrated,-0.093068237,3,11,5,19,13720.792,17300.517,3.8769,3.8780,0,7905.2427340150025,7905.2427340150025,4937.393234109004
131,ei_only_ablation,-0.093068237,3,11,5,19,13945.003,17524.727,0.3273,0.3285,0,7905.2427340150025,7905.2427340150025,4937.393234109004
137,vanilla_bo_penalty,-0.093068237,2,2,6,18,12793.528,16977.428,0.2957,0.2968,0,1949.370451093011,1949.370451093011,1345.1955549820123
137,flowguard_calibrated,-0.093068237,2,2,4,20,14429.854,17042.087,3.4911,3.4923,0,1949.370451093011,1949.370451093011,1345.1955549820123
137,ei_only_ablation,-0.093068237,2,2,3,21,15131.152,17135.584,0.1314,0.1325,0,1949.370451093011,1949.370451093011,1345.1955549820123
139,vanilla_bo_penalty,-0.093068237,7,7,6,18,13647.509,17831.408,0.1249,0.1260,0,5187.073720488996,5187.073720488996,4579.2730302349955
139,flowguard_calibrated,-0.093068237,7,7,4,20,14720.873,17333.106,2.7690,2.7702,0,5187.073720488996,5187.073720488996,4579.2730302349955
139,ei_only_ablation,-0.093068237,7,7,3,21,15366.291,17366.649,0.1286,0.1297,0,5187.073720488996,5187.073720488996,4579.2730302349955
149,vanilla_bo_penalty,-0.093068237,3,3,6,18,12740.888,16924.787,0.1325,0.1336,0,1849.7736386570032,1849.7736386570032,1241.972948403003
149,flowguard_calibrated,-0.093068237,3,3,4,20,14883.275,17495.509,2.8329,2.8341,0,1849.7736386570032,1849.7736386570032,1241.972948403003
149,ei_only_ablation,-0.093068237,3,3,4,20,14596.099,17208.332,0.1700,0.1712,0,1849.7736386570032,1849.7736386570032,1241.972948403003
